 workload,recordtype,operation
azureactivedirectory,azureactivedirectoryaccountlogon,foreignrealmindexlogoninitialauthusingadfsfederatedtoken
azureactivedirectory,azureactivedirectorystslogon,userloggedin
azureactivedirectory,azureactivedirectorystslogon,userloginfailed
AzureAISearch,AzureAISearchAudit,DataContributorAccessedData
CDPPolicyEvaluation,NoisyAlertPolicy,NoisyAlertPolicy
CDPPolicyEvaluation,NoisyAlertPolicy,ThrottledAlertPolicy
ClassifierHealth,CdpClassifierHealthRecord,CdpClassifierHealthRecord
cloudpolicyservice,cpsoperation,createdpolicyconfig
cloudpolicyservice,cpsoperation,deletedpolicyconfig
cloudpolicyservice,cpsoperation,updatedpolicyconfig
cloudpolicyservice,cpsoperation,updatedpolicyconfigPriority
cloudupdateservice,cloudupdatedeviceconfig,updateddeviceconfiguration
cloudupdateservice,cloudupdateprofileconfig,updatedprofileconfiguration
cloudupdateservice,cloudupdatetenantconfig,updatedtenantconfiguration
compliance,aed,acceptedguestinvite
compliance,aed,addedguesttocase
compliance,aed,addedguesttoreviewer
compliance,aed,addnonoffice365datatoworkingset
compliance,aed,addquerytoworkingset
compliance,aed,addremediateddata
compliance,aed,addworkingsetquerytoworkingset
compliance,aed,annotatedocument
compliance,aed,burnjob
compliance,aed,cancelledguestinvite
compliance,aed,caseapprovalrejected
compliance,aed,caseapproved
compliance,aed,closedcase
compliance,aed,completedcontentreview
compliance,aed,convertpdfjob
compliance,aed,createdcase
compliance,aed,createdguestinvite
compliance,aed,createdteamforcase
compliance,aed,createsearchprofileview
compliance,aed,createtag
compliance,aed,createtagjob
compliance,aed,createworkingset
compliance,aed,createworkingsetsearch
compliance,aed,creatingguestaccount
compliance,aed,declinedguestinvite
compliance,aed,deletetag
compliance,aed,deleteworkingsetsearch
compliance,aed,downloaddocument
compliance,aed,editedsearchquery
compliance,aed,errorremediationjob
compliance,aed,exportjob
compliance,aed,exportviewed
compliance,aed,guestinviteemailsent
compliance,aed,guestsettingsdisabled
compliance,aed,guestsettingsenabled
compliance,aed,loadcomparisonjob
compliance,aed,previewworkingsetsearch
compliance,aed,privacyremediatefiles
compliance,aed,privacyreviewtag
compliance,aed,removedguestaccess
compliance,aed,removedguestfromcase
compliance,aed,removedguestfromreviewer
compliance,aed,requestedfinalattachmentlink
compliance,aed,requestedsummaryreport
compliance,aed,runalgo
compliance,aed,startedcontentretrieval
compliance,aed,supervisoryreviewtag
compliance,aed,tagfiles
compliance,aed,translatepreview
compliance,aed,updatecasesettings
compliance,aed,updatesearchprofileview
compliance,aed,updatetag
compliance,aed,updatetenantsettings
compliance,aed,updateworkingsetsearch
compliance,aed,upgradecontentsearchestopremium
compliance,aed,upgradestandardtopremium
compliance,aed,upgradeusersearchestopremium
compliance,aed,viewconversation
compliance,aed,viewdocument
compliance,compliancesettingschange,ccglobalsettingchange
Compliance,M365ComplianceConnector,FlowAtTheEndOfRetentionInvoked
complianceconnector,complianceconnector,connectoringestionresult
complianceconnector,compliancesettingschange,createconnector
complianceconnector,compliancesettingschange,deleteconnector
complianceconnector,compliancesettingschange,updateconnector
CompliancePostureManagement,MDCAssessments,MDCAssessments
CompliancePostureManagement,MDCRegulatoryComplianceAssessments,MDCRegulatoryComplianceAssessments
CompliancePostureManagement,ScorePlatformGenericAuditRecord,ScorePlatformGenericAuditRecord
connectedaiapp,ConnectedAIAppInteraction,ConnectedAIAppInteraction
copilot,aiinteractionschangenotification,aiinteractioncreatednotification
copilot,aiinteractionschangenotification,aiinteractiondeletednotification
copilot,aiinteractionschangenotification,aiinteractionupdatednotification
copilot,aiinteractionsexport,aienterpriseinteractionsexported
copilot,aiinteractionssubscription,subscribedtoaiinteractions
copilot,CopilotAgentManagement,CreateCopilotAgent
copilot,CopilotAgentManagement,DeleteCopilotAgent
copilot,CopilotAgentManagement,UpdateCopilotAgent
copilot,CopilotForSecurityLogging,CopilotForSecurityLoggingDisabled
copilot,CopilotForSecurityLogging,CopilotForSecurityLoggingEnabled
copilot,CopilotForSecurityLogging,CopilotForSecurityLoggingUpdated
copilot,CopilotForSecurityTrigger,CreateCopilotForSecurityAgentTrigger
copilot,CopilotForSecurityTrigger,DeleteCopilotForSecurityAgentTrigger
copilot,CopilotForSecurityTrigger,UpdateCopilotForSecurityAgentTrigger
copilot,copilotinteraction,copilotinteraction
copilot,CreateCopilotPlugin,CreatePlugin
copilot,CreateCopilotPromptBook,CreatePromptBook
copilot,CreateCopilotWorkspace,CreateWorkspace
copilot,DeleteCopilotPlugin,DeletePlugin
copilot,DeleteCopilotPromptBook,DeletePromptBook
copilot,DeleteCopilotWorkspace,DeleteWorkspace
copilot,DisableCopilotPlugin,DisablePlugin
copilot,DisableCopilotPromptBook,DisablePromptBook
copilot,DisableCopilotWorkspace,DisableWorkspace
copilot,EnableCopilotPlugin,EnablePlugin
copilot,EnableCopilotPromptBook,EnablePromptBook
copilot,EnableCopilotWorkspace,EnableWorkspace
copilot,Microsoft365CopilotScheduledPrompt,ScheduledPromptCreated
copilot,Microsoft365CopilotScheduledPrompt,ScheduledPromptDeleted
copilot,Microsoft365CopilotScheduledPrompt,ScheduledPromptExecute
copilot,OutlookCopilotAutomation,InsightCalculated
copilot,OutlookCopilotAutomation,OutlookItemPrioritized
copilot,OutlookCopilotAutomation,ProfileGenerated
copilot,OutlookCopilotAutomation,ProjectDiscovered
copilot,TeamCopilotInteraction,AINotesUpdate
copilot,TeamCopilotInteraction,LiveNotesUpdate
copilot,TeamCopilotInteraction,TeamCopilotMsgInteraction
copilot,UpdateCopilotPlugin,UpdatePlugin
copilot,UpdateCopilotPromptBook,UpdatePromptBook
copilot,UpdateCopilotSettings,UpdateTenantSettings
copilot,UpdateCopilotWorkspace,UpdateWorkspace
corereporting,corereportingsettings,updatedcfrprivacysettings
corereporting,corereportingsettings,updatedproductivityscoresettings
CoreReporting,CoreReportingSettings,UpdatedUsageReportsSettings
cortanabriefing,cortanabriefing,updatedorganizationbriefingsettings
cortanabriefing,cortanabriefing,updateduserbriefingsettings
crm,crm,crmdefaultactivity
dlpsensitiveinformationtype,dlpsensitiveinformationtype,createrulepackage
dlpsensitiveinformationtype,dlpsensitiveinformationtype,editrulepackage
DragonCopilot,DragonCopilotAdmin,AcceptedTerms
DragonCopilot,DragonCopilotAdmin,ActivatedSubscription
DragonCopilot,DragonCopilotAdmin,AddedGroupMember
DragonCopilot,DragonCopilotAdmin,CanceledDeprovision
DragonCopilot,DragonCopilotAdmin,CreatedBillingPlan
DragonCopilot,DragonCopilotAdmin,CreatedChildOrganization
DragonCopilot,DragonCopilotAdmin,CreatedDataExportConfig
DragonCopilot,DragonCopilotAdmin,CreatedEhrConnector
DragonCopilot,DragonCopilotAdmin,CreatedEhrInstance
DragonCopilot,DragonCopilotAdmin,CreatedEhrUser
DragonCopilot,DragonCopilotAdmin,CreatedEnvironment
DragonCopilot,DragonCopilotAdmin,CreatedExtension
DragonCopilot,DragonCopilotAdmin,CreatedGroup
DragonCopilot,DragonCopilotAdmin,CreatedOrganizationRoleAssignment
DragonCopilot,DragonCopilotAdmin,CreatedRoleAssignment
DragonCopilot,DragonCopilotAdmin,DeletedBillingPlan
DragonCopilot,DragonCopilotAdmin,DeletedDataExportConfig
DragonCopilot,DragonCopilotAdmin,DeletedEhrInstance
